,Away,Away_Spread,Away_Payout,Home,Home_Spread,Home_Payout,Date
0,Atlanta Falcons,1.0,-111.0,Philadelphia Eagles,-1.0,101.0,2018-09-06
1,San Francisco 49Ers,6.0,-102.0,Minnesota Vikings,-6.0,-108.0,2018-09-09
2,Houston Texans,6.0,-105.0,New England Patriots,-6.0,-105.0,2018-09-09
3,Pittsburgh Steelers,-3.5,105.0,Cleveland Browns,3.5,-115.0,2018-09-09
4,Cincinnati Bengals,-1.0,-104.0,Indianapolis Colts,1.0,-106.0,2018-09-09
5,Jacksonville Jaguars,-2.5,-108.0,New York Giants,2.5,-102.0,2018-09-09
6,Tampa Bay Buccaneers,10.0,-108.0,New Orleans Saints,-10.0,-102.0,2018-09-09
7,Buffalo Bills,7.5,-103.0,Baltimore Ravens,-7.5,-107.0,2018-09-09
8,Tennessee Titans,1.0,-113.0,Miami Dolphins,-1.0,103.0,2018-09-09
9,Kansas City Chiefs,3.5,-105.0,Los Angeles Chargers,-3.5,-105.0,2018-09-09
10,Dallas Cowboys,3.0,-105.0,Carolina Panthers,-3.0,-105.0,2018-09-09
11,Seattle Seahawks,3.0,108.0,Denver Broncos,-3.0,-118.0,2018-09-09
12,Washington Redskins,-1.5,-102.0,Arizona Cardinals,1.5,-108.0,2018-09-09
13,Chicago Bears,6.5,-102.0,Green Bay Packers,-6.5,-108.0,2018-09-09
14,New York Jets,7.0,-102.0,Detroit Lions,-7.0,-108.0,2018-09-10
15,Baltimore Ravens,-1.0,103.0,Cincinnati Bengals,1.0,-113.0,2018-09-13
16,Philadelphia Eagles,-2.5,-118.0,Tampa Bay Buccaneers,2.5,108.0,2018-09-16
17,Houston Texans,-3.0,-120.0,Tennessee Titans,3.0,110.0,2018-09-16
18,Indianapolis Colts,6.0,-108.0,Washington Redskins,-6.0,-102.0,2018-09-16
19,Minnesota Vikings,-1.5,-104.0,Green Bay Packers,1.5,-106.0,2018-09-16
20,Cleveland Browns,10.0,-107.0,New Orleans Saints,-10.0,-103.0,2018-09-16
21,Kansas City Chiefs,4.5,-108.0,Pittsburgh Steelers,-4.5,-102.0,2018-09-16
22,Miami Dolphins,3.0,100.0,New York Jets,-3.0,-110.0,2018-09-16
23,Carolina Panthers,5.5,-108.0,Atlanta Falcons,-5.5,-102.0,2018-09-16
24,Los Angeles Chargers,-7.0,-120.0,Buffalo Bills,7.0,110.0,2018-09-16
25,Arizona Cardinals,12.0,-105.0,Los Angeles Rams,-12.0,-105.0,2018-09-16
26,Detroit Lions,6.0,-108.0,San Francisco 49Ers,-6.0,-102.0,2018-09-16
27,Oakland Raiders,5.5,-105.0,Denver Broncos,-5.5,-105.0,2018-09-16
28,New England Patriots,-2.0,-105.0,Jacksonville Jaguars,2.0,-105.0,2018-09-16
29,New York Giants,2.5,105.0,Dallas Cowboys,-2.5,-115.0,2018-09-16
30,Seattle Seahawks,5.0,-108.0,Chicago Bears,-5.0,-102.0,2018-09-17
31,New York Jets,3.0,110.0,Cleveland Browns,-3.0,-120.0,2018-09-20
32,New Orleans Saints,1.5,-102.0,Atlanta Falcons,-1.5,-108.0,2018-09-23
33,Buffalo Bills,16.5,-109.0,Minnesota Vikings,-16.5,-101.0,2018-09-23
34,Denver Broncos,5.5,-108.0,Baltimore Ravens,-5.5,-102.0,2018-09-23
35,Indianapolis Colts,6.0,100.0,Philadelphia Eagles,-6.0,-110.0,2018-09-23
36,Cincinnati Bengals,3.0,-113.0,Carolina Panthers,-3.0,103.0,2018-09-23
37,San Francisco 49Ers,6.0,-102.0,Kansas City Chiefs,-6.0,-108.0,2018-09-23
38,Green Bay Packers,-2.5,-105.0,Washington Redskins,2.5,-105.0,2018-09-23
39,Oakland Raiders,2.5,102.0,Miami Dolphins,-2.5,-112.0,2018-09-23
40,New York Giants,6.5,-106.0,Houston Texans,-6.5,-104.0,2018-09-23
41,Tennessee Titans,10.0,-105.0,Jacksonville Jaguars,-10.0,-105.0,2018-09-23
42,Los Angeles Chargers,7.0,-113.0,Los Angeles Rams,-7.0,103.0,2018-09-23
43,Chicago Bears,-5.5,-101.0,Arizona Cardinals,5.5,-109.0,2018-09-23
44,Dallas Cowboys,1.5,-106.0,Seattle Seahawks,-1.5,-104.0,2018-09-23
45,New England Patriots,-6.5,-113.0,Detroit Lions,6.5,103.0,2018-09-23
46,Pittsburgh Steelers,1.0,-106.0,Tampa Bay Buccaneers,-1.0,-104.0,2018-09-24
47,Minnesota Vikings,7.0,-105.0,Los Angeles Rams,-7.0,-105.0,2018-09-27
48,Cincinnati Bengals,3.5,-110.0,Atlanta Falcons,-3.5,100.0,2018-09-30
49,Tampa Bay Buccaneers,2.5,100.0,Chicago Bears,-2.5,-110.0,2018-09-30
50,Houston Texans,-1.0,-109.0,Indianapolis Colts,1.0,-101.0,2018-09-30
51,New York Jets,7.0,100.0,Jacksonville Jaguars,-7.0,-110.0,2018-09-30
52,Miami Dolphins,6.5,105.0,New England Patriots,-6.5,-115.0,2018-09-30
53,Detroit Lions,2.5,-105.0,Dallas Cowboys,-2.5,-105.0,2018-09-30
54,Buffalo Bills,9.5,-109.0,Green Bay Packers,-9.5,-101.0,2018-09-30
