,Away,Away_Spread,Away_Payout,Home,Home_Spread,Home_Payout,Date
120,Arizona Cardinals,5.5,-105.0,Tampa Bay Buccaneers,-5.5,-105.0,2019-11-10
121,Detroit Lions,6.5,-105.0,Chicago Bears,-6.5,-105.0,2019-11-10
122,Miami Dolphins,11.0,-105.0,Indianapolis Colts,-11.0,-105.0,2019-11-10
123,Los Angeles Rams,-4.5,-108.0,Pittsburgh Steelers,4.5,-102.0,2019-11-10
124,Carolina Panthers,5.5,-105.0,Green Bay Packers,-5.5,-105.0,2019-11-10
125,Minnesota Vikings,3.0,110.0,Dallas Cowboys,-3.0,-120.0,2019-11-10
126,Seattle Seahawks,6.5,-105.0,San Francisco 49Ers,-6.5,-105.0,2019-11-11
127,Pittsburgh Steelers,3.0,100.0,Cleveland Browns,-3.0,-110.0,2019-11-14
128,Jacksonville Jaguars,2.5,-105.0,Indianapolis Colts,-2.5,-105.0,2019-11-17
129,Denver Broncos,9.5,-102.0,Minnesota Vikings,-9.5,-108.0,2019-11-17
130,Houston Texans,4.5,-107.0,Baltimore Ravens,-4.5,-103.0,2019-11-17
131,New Orleans Saints,1.5,-105.0,Washington Redskins,-1.5,-105.0,2019-11-17
132,Atlanta Falcons,4.0,-108.0,Carolina Panthers,-4.0,-102.0,2019-11-17
133,Buffalo Bills,-7.0,-105.0,Miami Dolphins,7.0,-105.0,2019-11-17
134,Arizona Cardinals,9.5,100.0,San Francisco 49Ers,-9.5,-110.0,2019-11-17
135,Cincinnati Bengals,13.0,-105.0,Oakland Raiders,-13.0,-105.0,2019-11-17
136,New York Giants,-4.5,-101.0,Philadelphia Eagles,4.5,-109.0,2019-11-17
137,Chicago Bears,5.5,-108.0,Los Angeles Rams,-5.5,-102.0,2019-11-17
138,Kansas City Chiefs,-5.5,-102.0,Los Angeles Chargers,5.5,-108.0,2019-11-18
139,Indianapolis Colts,3.5,-101.0,Houston Texans,-3.5,-109.0,2019-11-21
140,New England Patriots,6.0,-109.0,Chicago Bears,-6.0,-101.0,2019-11-24
141,Seattle Seahawks,-1.0,102.0,Philadelphia Eagles,1.0,-112.0,2019-11-24
142,Carolina Panthers,10.0,-109.0,New York Jets,-10.0,-101.0,2019-11-24
143,Oakland Raiders,-3.0,-125.0,New Orleans Saints,3.0,115.0,2019-11-24
144,Denver Broncos,4.0,-108.0,Buffalo Bills,-4.0,-102.0,2019-11-24
145,Detroit Lions,-4.0,-101.0,Washington Redskins,4.0,-109.0,2019-11-24
146,Pittsburgh Steelers,-6.0,-105.0,Cincinnati Bengals,6.0,-105.0,2019-11-24
147,Jacksonville Jaguars,4.5,-107.0,Tennessee Titans,-4.5,-103.0,2019-11-24
148,Dallas Cowboys,5.5,-105.0,New York Giants,-5.5,-105.0,2019-11-24
149,Green Bay Packers,3.0,110.0,San Francisco 49Ers,-3.0,-120.0,2019-11-24
150,Baltimore Ravens,-3.0,-115.0,Los Angeles Rams,3.0,105.0,2019-11-25
